filename,arrival,max_sta_lta,mean_sta_lta,var_sta_lta,mean_amp,max_amp,rms_amp,event_duration,dom_freq,mean_freq,bandwidth
xa.s12.00.mhz.1970-01-19HR00_evid00002,73499.335,4.999991569919114,1.0000397497320472,1.2888245986336937,-2.2290228153752873e-28,7.168520395713662e-09,3.000851904748347e-10,300.48301886792456,0.8281148729505692,0.7783580819529654,0.8281148729505692
xa.s12.00.mhz.1970-03-25HR00_evid00003,12719.56,3.3772453896161956,1.0003615516997904,0.08748139744532049,-1.7566773387212583e-28,4.337924161383548e-09,2.3180994794159293e-10,0.0,0.8281206598056292,0.7713481955263514,0.8281206598056292
xa.s12.00.mhz.1970-03-26HR00_evid00004,73019.435,4.999997270915694,1.0221365950536245,0.2807077902607373,2.0678214740371833e-28,5.446156325978375e-09,2.5089088002385e-10,587.6981132075472,0.8281206598056292,0.7793862800271842,0.8281206598056292
xa.s12.00.mhz.1970-04-25HR00_evid00006,4439.804,4.075930840066774,1.0029449912306487,0.1849354928802474,1.031419795445129e-28,6.4820108838532515e-09,2.935849062133576e-10,310.0377358490566,0.8281264467213473,0.7817649181279418,0.8281264467213473
xa.s12.00.mhz.1970-04-26HR00_evid00007,52139.34,4.453052489774755,0.9997482606083836,0.1214390675258788,-3.6127040385013027e-31,3.57001563806814e-09,2.2890057827178448e-10,302.86792452830184,0.8281206598056292,0.7625589285208926,0.8281206598056292
xa.s12.00.mhz.1970-06-15HR00_evid00008,68399.49,4.9996455194195875,1.040290583791368,0.6691862277135119,1.9643837985340643e-29,1.479799761136274e-08,4.775516746788794e-10,212.9559748427673,0.8281221065724698,0.7982207290641766,0.8281221065724698
xa.s12.00.mhz.1970-06-26HR00_evid00009,72059.884,4.826849524363343,0.9948835420850504,0.10064164557309484,-6.209204896665212e-30,4.6722222404306466e-08,1.3536387602612674e-09,505.35849056603774,0.8281264467011283,0.7941689028966454,0.8281264467011283
xa.s12.00.mhz.1970-07-20HR00_evid00010,18359.513,4.452393611643014,1.0062177547951017,0.2815862837090102,3.286544602025357e-28,1.6734899718309583e-08,6.603928538350071e-10,382.59119496855345,0.8385371262956163,0.7740455563430154,0.8385371262956163
xa.s12.00.mhz.1970-07-20HR00_evid00011,42239.513,4.452393611643014,1.0062177547951017,0.2815862837090102,3.286544602025357e-28,1.6734899718309583e-08,6.603928538350071e-10,382.59119496855345,0.8385371262956163,0.7740455563430154,0.8385371262956163
xa.s12.00.mhz.1970-09-26HR00_evid00013,71819.851,4.7247187188433735,0.9974087569200529,0.24866532619582696,9.22349163740996e-30,4.273224550791587e-09,2.3001433933118496e-10,125.28301886792453,0.8281264467011283,0.7800145249021391,0.8281264467011283
xa.s12.00.mhz.1970-10-24HR00_evid00014,41459.496,4.992305168016527,1.0249509198991504,0.3886656831301897,2.3572523221185955e-29,9.164898211888726e-09,2.3363876639225045e-10,315.8037735849057,0.8281307868348416,0.769879817076011,0.8281307868348416
xa.s12.00.mhz.1970-11-12HR00_evid00015,46199.3,4.9998224935551665,1.0542059970676132,1.090262993835844,1.4085029870106954e-28,5.833504870607972e-09,2.4318795964961273e-10,166.70967741935485,0.8281206598056292,0.7853758682028674,0.8281206598056292
xa.s12.00.mhz.1970-12-11HR00_evid00017,26519.674,4.998099618910066,1.0100702807168418,0.49938429469010603,-4.3126353093261744e-29,3.725593087021427e-09,2.045806353232533e-10,234.54716981132074,0.8281264467213473,0.767247027831333,0.8281264467213473
xa.s12.00.mhz.1970-12-27HR00_evid00019,74039.483,4.3007825361358805,0.9996827107230967,0.10581690785899771,3.702944011102163e-30,4.984865592742466e-09,2.5674670283576224e-10,317.1320754716981,0.8281264467011283,0.7640844580525478,0.8281264467011283
xa.s12.00.mhz.1970-12-31HR00_evid00021,56459.661,4.999997424554933,1.0096735232805472,0.1842302638689703,-1.5474791954917924e-28,5.901299673194316e-09,2.36499889153792e-10,312.2012578616352,0.8281206598056292,0.7600690636797902,0.8281206598056292
xa.s12.00.mhz.1971-01-15HR00_evid00022,45599.742,4.956792572188021,1.0139888952878877,0.6607126305814391,1.3138953000024426e-28,5.498765341143194e-09,2.57754985021893e-10,190.40431266846358,0.8281206598056292,0.7799470661123277,0.8281206598056292
xa.s12.00.mhz.1971-01-28HR00_evid00023,53939.766,4.873630957991119,0.999644622004273,0.1176796114836168,-5.048648054161242e-29,1.600421088019033e-08,2.3280835514543108e-10,207.77358490566036,0.8281264467011283,0.7705821303307541,0.8281264467011283
xa.s12.00.mhz.1971-01-29HR00_evid00024,66059.806,4.9988761733533025,1.0064587074843934,0.16647901423559314,-1.3700892841078002e-28,3.5189507123402575e-09,2.341531968058564e-10,188.8679245283019,0.8281264467011283,0.7766558582859996,0.8281264467011283
xa.s12.00.mhz.1971-02-09HR00_evid00026,13319.821,4.99070128685796,1.0191566985736573,1.0047236280157141,5.407766357631637e-29,3.5400334835514177e-09,1.9347375073506856e-10,193.88679245283018,0.8445786768598088,0.7795320663248487,0.8445786768598088
xa.s12.00.mhz.1971-03-25HR00_evid00028,55079.849,3.7712153229429486,0.9919769532895812,0.13944841863317978,-1.0810714654728617e-28,3.516500702450568e-09,2.2674458457587223e-10,0.0,0.8281206599269427,0.7647956703258035,0.8281206599269427
xa.s12.00.mhz.1971-04-17HR00_evid00030,25439.613,544599.5642558403,1.0963575458802017,518225.766870399,4.078692981232108e-28,2.196168822345927e-08,5.97680243612592e-10,501.39622641509436,0.8281221065724698,0.7812497983728057,0.8281221065724698
xa.s12.00.mhz.1971-05-12HR00_evid00031,29099.288,4.6552961897632885,0.997670139085215,0.11458607959519118,9.122141442611616e-29,8.644112939606745e-09,4.4183458953337257e-10,399.92452830188677,0.9093754531303776,0.7885152547497654,0.9093754531303776
xa.s12.00.mhz.1971-05-12HR00_evid00032,35099.288,4.6552961897632885,0.997670139085215,0.11458607959519118,9.122141442611616e-29,8.644112939606745e-09,4.4183458953337257e-10,399.92452830188677,0.9093754531303776,0.7885152547497654,0.9093754531303776
xa.s12.00.mhz.1971-05-13HR00_evid00033,10799.817,3.8228450919519745,1.0014161472804957,0.09335924912300717,7.866663043836586e-29,2.817324511561492e-09,2.2102068997436691e-10,0.0,0.8281322336572847,0.7763168035815041,0.8281322336572847
xa.s12.00.mhz.1971-05-23HR00_evid00034,80399.498,4.998303475516403,0.9785301264520121,0.4461149064828251,-1.994532086370248e-27,1.1287208400403245e-07,3.983480073199481e-09,398.7169811320755,0.8350821857262899,0.7961083904745818,0.8350821857262899
xa.s12.00.mhz.1971-06-12HR00_evid00035,39059.471,4.991713897299386,0.9985879423457127,0.22045632785856,-3.873493901219722e-27,1.2480702413658287e-07,4.879910689557388e-09,315.1194968553459,0.7936440241222323,0.7571898761165385,0.7936440241222323
xa.s12.00.mhz.1971-09-25HR00_evid00042,32219.424,4.512522269415297,0.9790174701468887,0.6424929283871301,-9.159525727522882e-29,2.2622723172229014e-09,1.603923424580666e-10,256.4830188679245,0.8281264467617869,0.7831565382566091,0.8281264467617869
xa.s12.00.mhz.1971-10-18HR00_evid00043,11939.583,4.969790501800864,1.023255152785109,0.34593326983949224,4.5168214660898765e-29,2.04595195417945e-08,3.2088946466587074e-10,265.55256064690025,0.8281264467617869,0.7600021567667764,0.8281264467617869
xa.s12.00.mhz.1971-10-20HR00_evid00044,65279.575,4.999998800244935,0.9832669827892231,0.5388861108252455,-1.5618950169461674e-27,4.3213553414377536e-08,1.4537210542324745e-09,324.3018867924528,0.8281264467617869,0.7865239868110856,0.8281264467617869
xa.s12.00.mhz.1971-10-31HR00_evid00045,19799.58,4.999982203387383,1.0443284936689814,0.6519630778325979,-2.7907797413656364e-29,6.4000360515495146e-09,3.0150664106844e-10,248.05390835579513,0.8281221065724698,0.7920520119821473,0.8281221065724698
xa.s12.00.mhz.1971-11-14HR00_evid00046,15419.398,4.926289039346845,0.9836246500978961,0.42498401136517633,1.1289936802074303e-29,2.811315461522813e-09,1.9903182270295446e-10,381.58490566037733,0.8281264467617869,0.7818925687261441,0.8281264467617869
xa.s12.00.mhz.1972-01-04HR00_evid00049,23699.883,4.843730579291263,1.0295007887898098,0.4770801213426135,1.0243019657528485e-28,4.325265569240803e-09,2.2057767713030695e-10,296.62264150943395,0.8281336802825906,0.7641180274168505,0.8281336802825906
xa.s12.00.mhz.1972-03-12HR00_evid00052,64799.583,4.999997746816009,1.0077659931835257,0.5723794126158104,1.8754843015605832e-28,2.8039569304601313e-09,1.7583894566786378e-10,221.68553459119497,0.8281264467617869,0.7918591320439035,0.8281264467617869
xa.s12.00.mhz.1972-05-11HR00_evid00055,48899.424,4.99984705135409,0.9758767622835693,2.0772934330492334,-1.6881136879091574e-28,7.996784362558323e-09,3.4804350392745013e-10,151.70268724985704,0.8317607123702173,0.7685197292274372,0.8317607123702173
xa.s12.00.mhz.1972-06-16HR00_evid00060,58259.884,4.885551082228303,0.9833346515327526,0.5455007498153087,-1.034609808542089e-28,3.593228179729939e-09,1.9211683924685576e-10,186.56603773584905,0.8281264467617869,0.7796928126729137,0.8281264467617869
xa.s12.00.mhz.1972-07-17HR00_evid00067,28199.816,4.725934303482763,1.0015464041149253,0.1433121428342428,8.469258991444059e-28,2.401947733771906e-08,1.1257243333108247e-09,653.8867924528302,0.8281264467617869,0.7106574601078414,0.8281264467617869
xa.s12.00.mhz.1972-07-17HR00_evid00068,78959.816,4.725934303482763,1.0015464041149253,0.1433121428342428,8.469258991444059e-28,2.401947733771906e-08,1.1257243333108247e-09,653.8867924528302,0.8281264467617869,0.7106574601078414,0.8281264467617869
xa.s12.00.mhz.1972-07-28HR00_evid00070,8579.864,4.982821417392173,1.0073561430301583,0.6005860527574012,-7.584010273338222e-29,3.5705135887037877e-09,2.0103251520116501e-10,182.6132075471698,0.8281221065724698,0.7814251118614667,0.8281221065724698
xa.s12.00.mhz.1972-07-31HR00_evid00071,65279.378,4.725780704026268,0.9972150355455545,0.2288832800354055,-3.1895437895047925e-28,9.062853445228917e-09,4.1581297772759917e-10,238.90566037735852,0.8281264467213473,0.7900296145300587,0.8281264467213473
